month_year,Coletado,Não coletável,closed,month,year
11/2021,1.0,0.0,1.0,11,2021
12/2021,1.0,0.0,1.0,12,2021
1/2022,5.0,1.0,6.0,1,2022
2/2022,3.0,0.0,3.0,2,2022
3/2022,10.0,0.0,10.0,3,2022
4/2022,7.0,12.0,19.0,4,2022
5/2022,10.0,3.0,13.0,5,2022
6/2022,14.0,4.0,18.0,6,2022
7/2022,15.0,15.0,30.0,7,2022
8/2022,43.0,10.0,53.0,8,2022
9/2022,26.0,12.0,38.0,9,2022
10/2022,14.0,1.0,15.0,10,2022
11/2022,14.0,1.0,15.0,11,2022
12/2022,18.0,7.0,25.0,12,2022
1/2023,49.0,1.0,50.0,1,2023
2/2023,25.0,11.0,36.0,2,2023
3/2023,22.0,1.0,23.0,3,2023
4/2023,29.0,15.0,44.0,4,2023
5/2023,2.0,3.0,5.0,5,2023
6/2023,28.0,,,6,2023
