week_year,Coletado,Não coletável,closed,week,year
1/2022,0.0,0.0,0.0,1,2022
2/2022,1.0,0.0,1.0,2,2022
3/2022,3.0,0.0,3.0,3,2022
4/2022,1.0,1.0,2.0,4,2022
5/2022,0.0,0.0,0.0,5,2022
6/2022,0.0,0.0,0.0,6,2022
7/2022,2.0,0.0,2.0,7,2022
8/2022,2.0,0.0,2.0,8,2022
9/2022,2.0,0.0,2.0,9,2022
10/2022,2.0,0.0,2.0,10,2022
11/2022,4.0,0.0,4.0,11,2022
12/2022,2.0,0.0,2.0,12,2022
13/2022,1.0,0.0,1.0,13,2022
14/2022,1.0,0.0,1.0,14,2022
15/2022,1.0,1.0,2.0,15,2022
16/2022,3.0,11.0,14.0,16,2022
17/2022,2.0,0.0,2.0,17,2022
18/2022,2.0,0.0,2.0,18,2022
19/2022,0.0,0.0,0.0,19,2022
20/2022,4.0,2.0,6.0,20,2022
21/2022,4.0,1.0,5.0,21,2022
22/2022,1.0,0.0,1.0,22,2022
23/2022,5.0,0.0,5.0,23,2022
24/2022,2.0,0.0,2.0,24,2022
25/2022,3.0,3.0,6.0,25,2022
26/2022,3.0,1.0,4.0,26,2022
27/2022,1.0,0.0,1.0,27,2022
28/2022,3.0,11.0,14.0,28,2022
29/2022,4.0,2.0,6.0,29,2022
30/2022,7.0,2.0,9.0,30,2022
31/2022,12.0,5.0,17.0,31,2022
32/2022,11.0,2.0,13.0,32,2022
33/2022,7.0,1.0,8.0,33,2022
34/2022,6.0,0.0,6.0,34,2022
35/2022,9.0,4.0,13.0,35,2022
36/2022,3.0,5.0,8.0,36,2022
37/2022,3.0,0.0,3.0,37,2022
38/2022,12.0,3.0,15.0,38,2022
39/2022,4.0,2.0,6.0,39,2022
40/2022,5.0,1.0,6.0,40,2022
41/2022,0.0,0.0,0.0,41,2022
42/2022,0.0,0.0,0.0,42,2022
43/2022,5.0,0.0,5.0,43,2022
